company_name,zip_code,phone1,email,role,permission,full_name,full_name_with_phone,cluster
"Benton, John B Jr",70116,504-621-8927,jbutt@gmail.com,Admin,Execute,James Butt,James Butt 504-621-8927,0
Company W4,70116,504-621-8927,user1@outlook.com,Admin,Write,James Butt,James Butt 504-621-8927,0
Company I18,70116,504-621-8927,user2@yahoo.com,User,Write,James Butt,James Butt 504-621-8927,0
Company I18,70116,504-621-8927,user20@yahoo.com,Guest,Read,James Butt,James Butt 504-621-8927,0
Company V25,70116,504-621-8927,user18@gmail.com,Manager,Read,James Butt,James Butt 504-621-8927,0
"Chanay, Jeffrey A Esq",48116,810-292-9388,josephine_darakjy@darakjy.org,Manager,Execute,Josephine Darakjy,Josephine Darakjy 810-292-9388,1
Company H1,48116,810-292-9388,user5@company.com,Manager,Read,Josephine Darakjy,Josephine Darakjy 810-292-9388,1
Company H1,48116,810-292-9388,user1@outlook.com,Guest,Write,Josephine Darakjy,Josephine Darakjy 810-292-9388,1
Company H1,48116,810-292-9388,user15@company.com,Guest,Read,Josephine Darakjy,Josephine Darakjy 810-292-9388,1
Company P12,48116,810-292-9388,user14@yahoo.com,Guest,Execute,Josephine Darakjy,Josephine Darakjy 810-292-9388,1
Company P12,48116,810-292-9388,user9@company.com,User,Read,Josephine Darakjy,Josephine Darakjy 810-292-9388,1
"Chemel, James L Cpa",8014,856-636-8749,art@venere.org,Admin,Delete,Art Venere,Art Venere 856-636-8749,2
Feltz Printing Service,99501,907-385-4412,lpaprocki@hotmail.com,Admin,Delete,Lenna Paprocki,Lenna Paprocki 907-385-4412,3
Company S11,99501,907-385-4412,user5@company.com,User,Execute,Lenna Paprocki,Lenna Paprocki 907-385-4412,3
Company L6,99501,907-385-4412,user20@yahoo.com,Manager,Delete,Lenna Paprocki,Lenna Paprocki 907-385-4412,3
Company U16,99501,907-385-4412,user24@gmail.com,Manager,Delete,Lenna Paprocki,Lenna Paprocki 907-385-4412,3
Printing Dimensions,45011,513-570-1893,donette.foller@cox.net,Manager,Read,Donette Foller,Donette Foller 513-570-1893,4
