company_name,zip_code,phone1,email,role,permission,full_name
"Benton, John B Jr",70116,504-621-8927,jbutt@gmail.com,Admin,Execute,James Butt
Company W4,70116,504-621-8927,user1@outlook.com,Admin,Write,James Butt
Company I18,70116,504-621-8927,user2@yahoo.com,User,Write,James Butt
Company I18,70116,504-621-8927,user20@yahoo.com,Guest,Read,James Butt
Company V25,70116,504-621-8927,user18@gmail.com,Manager,Read,James Butt
"Chanay, Jeffrey A Esq",48116,810-292-9388,josephine_darakjy@darakjy.org,Manager,Execute,Josephine Darakjy
Company H1,48116,810-292-9388,user5@company.com,Manager,Read,Josephine Darakjy
Company H1,48116,810-292-9388,user1@outlook.com,Guest,Write,Josephine Darakjy
Company H1,48116,810-292-9388,user15@company.com,Guest,Read,Josephine Darakjy
Company P12,48116,810-292-9388,user14@yahoo.com,Guest,Execute,Josephine Darakjy
Company P12,48116,810-292-9388,user9@company.com,User,Read,Josephine Darakjy
"Chemel, James L Cpa",8014,856-636-8749,art@venere.org,Admin,Delete,Art Venere
Feltz Printing Service,99501,907-385-4412,lpaprocki@hotmail.com,Admin,Delete,Lenna Paprocki
Company S11,99501,907-385-4412,user5@company.com,User,Execute,Lenna Paprocki
Company L6,99501,907-385-4412,user20@yahoo.com,Manager,Delete,Lenna Paprocki
Company U16,99501,907-385-4412,user24@gmail.com,Manager,Delete,Lenna Paprocki
Printing Dimensions,45011,513-570-1893,donette.foller@cox.net,Manager,Read,Donette Foller
"Chapman, Ross E Esq",44805,419-503-2484,simona@morasca.com,Manager,Delete,Simona Morasca
Company X22,44805,419-503-2484,user11@gmail.com,Manager,Write,Simona Morasca
Morlong Associates,60632,773-573-6914,mitsue_tollner@yahoo.com,Manager,Delete,Mitsue Tollner
Commercial Press,95111,408-752-3500,leota@hotmail.com,Manager,Write,Leota Dilliard
Company P21,95111,408-752-3500,user6@company.com,Guest,Write,Leota Dilliard
Company P12,95111,408-752-3500,user9@company.com,User,Delete,Leota Dilliard
Company R9,95111,408-752-3500,user17@yahoo.com,Manager,Write,Leota Dilliard
Company V25,95111,408-752-3500,user25@company.com,Guest,Read,Leota Dilliard
Truhlar And Truhlar Attys,57105,605-414-2147,sage_wieser@cox.net,Manager,Read,Sage Wieser
Company X22,57105,605-414-2147,user22@company.com,Guest,Delete,Sage Wieser
"King, Christopher A Esq",21224,410-655-8723,kris@gmail.com,Guest,Execute,Kris Marrier
Company O15,21224,410-655-8723,user23@yahoo.com,User,Read,Kris Marrier
Company Z24,21224,410-655-8723,user20@yahoo.com,Manager,Read,Kris Marrier
Company Z24,21224,410-655-8723,user15@company.com,Admin,Write,Kris Marrier
Company V25,21224,410-655-8723,user18@gmail.com,Guest,Execute,Kris Marrier
Company P21,21224,410-655-8723,user23@yahoo.com,Guest,Delete,Kris Marrier
"Dorl, James J Esq",19443,215-874-1229,minna_amigon@yahoo.com,Guest,Write,Minna Amigon
Company U16,19443,215-874-1229,user25@company.com,Guest,Write,Minna Amigon
Company Z24,19443,215-874-1229,user7@company.com,User,Read,Minna Amigon
Company H1,19443,215-874-1229,user11@gmail.com,Manager,Execute,Minna Amigon
Company P20,19443,215-874-1229,user21@outlook.com,Guest,Execute,Minna Amigon
Company W4,19443,215-874-1229,user23@yahoo.com,Admin,Write,Minna Amigon
Company L6,19443,215-874-1229,user19@yahoo.com,Admin,Read,Minna Amigon
Rangoni Of Florence,11953,631-335-3414,amaclead@gmail.com,Admin,Read,Abel Maclead
Company W4,11953,631-335-3414,user25@company.com,Manager,Delete,Abel Maclead
Company F7,11953,631-335-3414,user14@yahoo.com,User,Write,Abel Maclead
Company L2,11953,631-335-3414,user16@yahoo.com,User,Delete,Abel Maclead
Feiner Bros,90034,310-498-5651,kiley.caldarera@aol.com,Guest,Read,Kiley Caldarera
Buckley Miller & Wright,44023,440-780-8425,gruta@cox.net,Manager,Delete,Graciela Ruta
Company V25,44023,440-780-8425,user12@company.com,Manager,Delete,Graciela Ruta
Company K17,44023,440-780-8425,user24@gmail.com,Admin,Execute,Graciela Ruta
Company W4,44023,440-780-8425,user24@gmail.com,Guest,Delete,Graciela Ruta
Company E3,44023,440-780-8425,user5@company.com,Manager,Execute,Graciela Ruta
"Rousseaux, Michael Esq",78045,956-537-6195,calbares@gmail.com,Admin,Read,Cammy Albares
Century Communications,85013,602-277-4385,mattie@aol.com,Guest,Delete,Mattie Poquette
Company X22,85013,602-277-4385,user24@gmail.com,Guest,Execute,Mattie Poquette
Company S11,85013,602-277-4385,user13@company.com,Guest,Write,Mattie Poquette
"Bolton, Wilbur Esq",37110,931-313-9635,meaghan@hotmail.com,Manager,Read,Meaghan Garufi
Company E3,37110,931-313-9635,user17@yahoo.com,Admin,Delete,Meaghan Garufi
Company S11,37110,931-313-9635,user7@company.com,Guest,Execute,Meaghan Garufi
Company L6,37110,931-313-9635,user9@company.com,Guest,Delete,Meaghan Garufi
T M Byxbee Company Pc,53207,414-661-9598,gladys.rim@rim.org,Guest,Write,Gladys Rim
Company B14,53207,414-661-9598,user15@company.com,User,Write,Gladys Rim
Company X22,53207,414-661-9598,user15@company.com,Guest,Execute,Gladys Rim
Company U16,53207,414-661-9598,user15@company.com,Guest,Write,Gladys Rim
Company X22,53207,414-661-9598,user12@company.com,Admin,Execute,Gladys Rim
Company L6,53207,414-661-9598,user7@company.com,Admin,Write,Gladys Rim
Farmers Insurance Group,48180,313-288-7937,yuki_whobrey@aol.com,User,Write,Yuki Whobrey
Company K17,48180,313-288-7937,user24@gmail.com,Guest,Write,Yuki Whobrey
Company L6,48180,313-288-7937,user5@company.com,Manager,Read,Yuki Whobrey
