first_name,last_name,company_name,Unnamed: 3,zip,phone1,email,web,role,permission
James,Butt,"Benton, John B Jr",,70116,504-621-8927,jbutt@gmail.com,http://www.bentonjohnbjr.com,Admin,Execute
Josephine,Darakjy,"Chanay, Jeffrey A Esq",,48116,810-292-9388,josephine_darakjy@darakjy.org,http://www.chanayjeffreyaesq.com,Manager,Execute
Art,Venere,"Chemel, James L Cpa",,8014,856-636-8749,art@venere.org,http://www.chemeljameslcpa.com,Admin,Delete
Lenna,Paprocki,Feltz Printing Service,,99501,907-385-4412,lpaprocki@hotmail.com,http://www.feltzprintingservice.com,Admin,Delete
Donette,Foller,Printing Dimensions,,45011,513-570-1893,donette.foller@cox.net,http://www.printingdimensions.com,Manager,Read
Simona,Morasca,"Chapman, Ross E Esq",,44805,419-503-2484,simona@morasca.com,http://www.chapmanrosseesq.com,Manager,Delete
Mitsue,Tollner,Morlong Associates,,60632,773-573-6914,mitsue_tollner@yahoo.com,http://www.morlongassociates.com,Manager,Delete
Leota,Dilliard,Commercial Press,,95111,408-752-3500,leota@hotmail.com,http://www.commercialpress.com,Manager,Write
Sage,Wieser,Truhlar And Truhlar Attys,,57105,605-414-2147,sage_wieser@cox.net,http://www.truhlarandtruhlarattys.com,Manager,Read
Kris,Marrier,"King, Christopher A Esq",,21224,410-655-8723,kris@gmail.com,http://www.kingchristopheraesq.com,Guest,Execute
Minna,Amigon,"Dorl, James J Esq",,19443,215-874-1229,minna_amigon@yahoo.com,http://www.dorljamesjesq.com,Guest,Write
Abel,Maclead,Rangoni Of Florence,,11953,631-335-3414,amaclead@gmail.com,http://www.rangoniofflorence.com,Admin,Read
Kiley,Caldarera,Feiner Bros,,90034,310-498-5651,kiley.caldarera@aol.com,http://www.feinerbros.com,Guest,Read
Graciela,Ruta,Buckley Miller & Wright,,44023,440-780-8425,gruta@cox.net,http://www.buckleymillerwright.com,Manager,Delete
Cammy,Albares,"Rousseaux, Michael Esq",,78045,956-537-6195,calbares@gmail.com,http://www.rousseauxmichaelesq.com,Admin,Read
Mattie,Poquette,Century Communications,,85013,602-277-4385,mattie@aol.com,http://www.centurycommunications.com,Guest,Delete
Meaghan,Garufi,"Bolton, Wilbur Esq",,37110,931-313-9635,meaghan@hotmail.com,http://www.boltonwilburesq.com,Manager,Read
Gladys,Rim,T M Byxbee Company Pc,,53207,414-661-9598,gladys.rim@rim.org,http://www.tmbyxbeecompanypc.com,Guest,Write
Yuki,Whobrey,Farmers Insurance Group,,48180,313-288-7937,yuki_whobrey@aol.com,http://www.farmersinsurancegroup.com,User,Write
Fletcher,Flosi,Post Box Services Plus,,61109,815-828-2147,fletcher.flosi@yahoo.com,http://www.postboxservicesplus.com,Guest,Execute
Bette,Nicka,Sport En Art,,19014,610-545-3615,bette_nicka@cox.net,http://www.sportenart.com,Admin,Write
Veronika,Inouye,C 4 Network Inc,,95111,408-540-1785,vinouye@aol.com,http://www.cnetworkinc.com,Guest,Write
Willard,Kolmetz,"Ingalls, Donald R Esq",,75062,972-303-9197,willard@hotmail.com,http://www.ingallsdonaldresq.com,Manager,Write
Maryann,Royster,"Franklin, Peter L Esq",,12204,518-966-7987,mroyster@royster.com,http://www.franklinpeterlesq.com,Admin,Write
Alisha,Slusarski,Wtlz Power 107 Fm,,8846,732-658-3154,alisha@slusarski.com,http://www.wtlzpowerfm.com,Manager,Read
Allene,Iturbide,"Ledecky, David Esq",,54481,715-662-6764,allene_iturbide@cox.net,http://www.ledeckydavidesq.com,Admin,Write
Chanel,Caudy,Professional Image Inc,,66218,913-388-2079,chanel.caudy@caudy.org,http://www.professionalimageinc.com,User,Execute
Ezekiel,Chui,"Sider, Donald C Esq",,21601,410-669-1642,ezekiel@chui.com,http://www.siderdonaldcesq.com,Admin,Delete
Willow,Kusko,U Pull It,,10011,212-582-4976,wkusko@yahoo.com,http://www.upullit.com,Admin,Write
Bernardo,Figeroa,"Clark, Richard Cpa",,77301,936-336-3951,bfigeroa@aol.com,http://www.clarkrichardcpa.com,Admin,Delete
Ammie,Corrio,"Moskowitz, Barry S",,43215,614-801-9788,ammie@corrio.com,http://www.moskowitzbarrys.com,Manager,Execute
Francine,Vocelka,Cascade Realty Advisors Inc,,88011,505-977-3911,francine_vocelka@vocelka.com,http://www.cascaderealtyadvisorsinc.com,Manager,Execute
Ernie,Stenseth,Knwz Newsradio,,7660,201-709-6245,ernie_stenseth@aol.com,http://www.knwznewsradio.com,Guest,Read
Albina,Glick,"Giampetro, Anthony D",,8812,732-924-7882,albina@glick.com,http://www.giampetroanthonyd.com,User,Delete
Alishia,Sergi,Milford Enterprises Inc,,10025,212-860-1579,asergi@gmail.com,http://www.milfordenterprisesinc.com,Guest,Read
Solange,Shinko,"Mosocco, Ronald A",,70002,504-979-9175,solange@shinko.com,http://www.mosoccoronalda.com,Guest,Execute
Jose,Stockham,Tri State Refueler Co,,10011,212-675-8570,jose@yahoo.com,http://www.tristaterefuelerco.com,Manager,Execute
Rozella,Ostrosky,Parkway Company,,93012,805-832-6163,rozella.ostrosky@ostrosky.com,http://www.parkwaycompany.com,Guest,Delete
Valentine,Gillian,Fbs Business Finance,,78204,210-812-9597,valentine_gillian@gmail.com,http://www.fbsbusinessfinance.com,User,Write
Kati,Rulapaugh,Eder Assocs Consltng Engrs Pc,,67410,785-463-7829,kati.rulapaugh@hotmail.com,http://www.ederassocsconsltngengrspc.com,Guest,Delete
Youlanda,Schemmer,Tri M Tool Inc,,97754,541-548-8197,youlanda@aol.com,http://www.trimtoolinc.com,Guest,Read
Dyan,Oldroyd,International Eyelets Inc,,66204,913-413-4604,doldroyd@aol.com,http://www.internationaleyeletsinc.com,User,Write
Roxane,Campain,Rapid Trading Intl,,99708,907-231-4722,roxane@hotmail.com,http://www.rapidtradingintl.com,Manager,Read
Lavera,Perin,Abc Enterprises Inc,,33196,305-606-7291,lperin@perin.org,http://www.abcenterprisesinc.com,Guest,Execute
Erick,Ferencz,Cindy Turner Associates,,99712,907-741-1044,erick.ferencz@aol.com,http://www.cindyturnerassociates.com,Admin,Delete
Fatima,Saylors,"Stanton, James D Esq",,55343,952-768-2416,fsaylors@saylors.org,http://www.stantonjamesdesq.com,Manager,Delete
Jina,Briddick,Grace Pastries Inc,,2128,617-399-5124,jina_briddick@briddick.com,http://www.gracepastriesinc.com,Admin,Delete
Kanisha,Waycott,"Schroer, Gene E Esq",,90006,323-453-2780,kanisha_waycott@yahoo.com,http://www.schroergeneeesq.com,Admin,Write
Emerson,Bowley,Knights Inn,,53711,608-336-7444,emerson.bowley@bowley.org,http://www.knightsinn.com,User,Write
Blair,Malet,Bollinger Mach Shp & Shipyard,,19132,215-907-9111,bmalet@yahoo.com,http://www.bollingermachshpshipyard.com,User,Read
Brock,Bolognia,Orinda News,,10003,212-402-9216,bbolognia@yahoo.com,http://www.orindanews.com,Manager,Write
Lorrie,Nestle,Ballard Spahr Andrews,,37388,931-875-6644,lnestle@hotmail.com,http://www.ballardspahrandrews.com,User,Read
Sabra,Uyetake,Lowy Limousine Service,,29201,803-925-5213,sabra@uyetake.org,http://www.lowylimousineservice.com,Admin,Execute
